 boardCurX: 0, boardCurY: 0, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 1, boardCurY: 0, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 2, boardCurY: 0, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 3, boardCurY: 0, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 4, boardCurY: 0, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 5, boardCurY: 0, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 6, boardCurY: 0, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 7, boardCurY: 0, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 8, boardCurY: 0, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 9, boardCurY: 0, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 10, boardCurY: 0, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 10, boardCurY: 1, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 9, boardCurY: 1, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 8, boardCurY: 1, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 7, boardCurY: 1, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 6, boardCurY: 1, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 5, boardCurY: 1, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 4, boardCurY: 1, envTarX: 5, envTarY: 6, envTreeX: [5, 5], envTreeY: [4, 5]
