# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 231K of event 'cycles'
# Event count (approx.): 247441296710
#
# Overhead  Command  Shared Object      Symbol                                            
# ........  .......  .................  ..................................................
#
    10.00%  nuXmv    nuXmv              [.] 0x00000000009cbe99
     8.67%  nuXmv    nuXmv              [.] 0x00000000009e5a4c
     7.30%  nuXmv    nuXmv              [.] 0x00000000009e5a50
     3.91%  nuXmv    nuXmv              [.] 0x00000000009e5a67
     3.47%  nuXmv    nuXmv              [.] 0x00000000009cc04b
     2.23%  nuXmv    nuXmv              [.] 0x00000000009dc382
     2.03%  nuXmv    nuXmv              [.] 0x00000000009e5aa9
     1.95%  nuXmv    [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     1.93%  nuXmv    nuXmv              [.] 0x00000000009dc0a0
     1.90%  nuXmv    nuXmv              [.] 0x00000000009dc3da
     1.72%  nuXmv    nuXmv              [.] 0x00000000009e3e93
     1.62%  nuXmv    nuXmv              [.] 0x000000000095b518
     1.54%  nuXmv    nuXmv              [.] 0x00000000009fb94a
     1.38%  nuXmv    nuXmv              [.] 0x00000000009dc10a
     1.37%  nuXmv    nuXmv              [.] 0x00000000009dc3d4
     0.83%  nuXmv    [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.81%  nuXmv    nuXmv              [.] 0x000000000094aac4
     0.80%  nuXmv    [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.79%  nuXmv    nuXmv              [.] 0x00000000009dc0c0
     0.73%  nuXmv    nuXmv              [.] 0x00000000009dc389
     0.65%  nuXmv    [kernel.kallsyms]  [k] __entry_text_start
     0.62%  nuXmv    nuXmv              [.] 0x00000000009cbf1b
     0.56%  nuXmv    nuXmv              [.] 0x00000000009c84f7
     0.53%  nuXmv    nuXmv              [.] 0x00000000009dc0a8
     0.50%  nuXmv    nuXmv              [.] 0x00000000009fb910
     0.43%  nuXmv    nuXmv              [.] 0x00000000009e418b
     0.40%  nuXmv    nuXmv              [.] 0x00000000009e5a63
     0.35%  nuXmv    [kernel.kallsyms]  [k] n_tty_write
     0.33%  nuXmv    [kernel.kallsyms]  [k] queue_work_on
     0.33%  nuXmv    nuXmv              [.] 0x00000000009c84ed
     0.32%  nuXmv    nuXmv              [.] 0x00000000009e40b0
     0.31%  nuXmv    nuXmv              [.] 0x00000000009dc3e1
     0.30%  nuXmv    nuXmv              [.] 0x000000000094aae9
     0.28%  nuXmv    [kernel.kallsyms]  [k] _raw_spin_lock
     0.28%  nuXmv    nuXmv              [.] 0x00000000009dc0ae
     0.27%  nuXmv    nuXmv              [.] 0x00000000009e5a3c
     0.26%  nuXmv    nuXmv              [.] 0x00000000009dc3ae
     0.26%  nuXmv    nuXmv              [.] 0x00000000009dc0e4
     0.25%  nuXmv    [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.24%  nuXmv    nuXmv              [.] 0x00000000009e569e
     0.24%  nuXmv    [kernel.kallsyms]  [k] insert_work
     0.23%  nuXmv    [kernel.kallsyms]  [k] mutex_unlock
     0.23%  nuXmv    nuXmv              [.] 0x00000000009e5aab
     0.22%  nuXmv    nuXmv              [.] 0x00000000009cbea7
     0.22%  nuXmv    [kernel.kallsyms]  [k] try_to_wake_up
     0.21%  nuXmv    [kernel.kallsyms]  [k] resched_curr
     0.21%  nuXmv    nuXmv              [.] 0x00000000009dc0c9
     0.20%  nuXmv    nuXmv              [.] 0x00000000009dc0a6
     0.20%  nuXmv    nuXmv              [.] 0x00000000009e5a13
     0.20%  nuXmv    nuXmv              [.] 0x00000000009dc3e7
     0.20%  nuXmv    nuXmv              [.] 0x00000000009ca219
     0.19%  nuXmv    nuXmv              [.] 0x00000000009c848d
     0.18%  nuXmv    nuXmv              [.] 0x00000000009fb934
     0.18%  nuXmv    [kernel.kallsyms]  [k] enqueue_task_fair
     0.18%  nuXmv    nuXmv              [.] 0x00000000009cc828
     0.18%  nuXmv    nuXmv              [.] 0x00000000009dc0b4
     0.17%  nuXmv    nuXmv              [.] 0x00000000009dc38b
     0.17%  nuXmv    nuXmv              [.] 0x00000000009e5a9d
     0.17%  nuXmv    nuXmv              [.] 0x00000000009dc0e1
     0.17%  nuXmv    nuXmv              [.] 0x00000000009dc15a
     0.17%  nuXmv    nuXmv              [.] 0x00000000009e5a59
     0.17%  nuXmv    nuXmv              [.] 0x000000000094b945
     0.17%  nuXmv    [kernel.kallsyms]  [k] available_idle_cpu
     0.17%  nuXmv    nuXmv              [.] 0x00000000009dc392
     0.17%  nuXmv    nuXmv              [.] 0x00000000009fc635
     0.16%  nuXmv    [kernel.kallsyms]  [k] file_tty_write.isra.0
     0.16%  nuXmv    nuXmv              [.] 0x000000000095b525
     0.16%  nuXmv    [kernel.kallsyms]  [k] ttwu_queue_wakelist
     0.16%  nuXmv    nuXmv              [.] 0x00000000009fb957
     0.16%  nuXmv    nuXmv              [.] 0x00000000009dc179
     0.16%  nuXmv    nuXmv              [.] 0x00000000009e5a79
     0.16%  nuXmv    nuXmv              [.] 0x00000000009cc0cb
     0.15%  nuXmv    nuXmv              [.] 0x0000000000ca7397
     0.15%  nuXmv    nuXmv              [.] 0x00000000009c867a
     0.15%  nuXmv    nuXmv              [.] 0x00000000009cb9ef
     0.14%  nuXmv    nuXmv              [.] 0x00000000009dc3e4
     0.14%  nuXmv    nuXmv              [.] 0x00000000009e5a44
     0.13%  nuXmv    nuXmv              [.] 0x00000000009dc3f3
     0.13%  nuXmv    [kernel.kallsyms]  [k] update_rq_clock
     0.13%  nuXmv    [kernel.kallsyms]  [k] __tty_buffer_request_room
     0.13%  nuXmv    nuXmv              [.] 0x00000000009cbea2
     0.13%  nuXmv    nuXmv              [.] 0x00000000009c8504
     0.13%  nuXmv    [kernel.kallsyms]  [k] vfs_write
     0.13%  nuXmv    [kernel.kallsyms]  [k] __queue_work
     0.13%  nuXmv    nuXmv              [.] 0x000000000094aab8
     0.13%  nuXmv    nuXmv              [.] 0x00000000009fb936
     0.13%  nuXmv    nuXmv              [.] 0x00000000009c868e
     0.13%  nuXmv    [kernel.kallsyms]  [k] psi_task_change
     0.13%  nuXmv    [kernel.kallsyms]  [k] llist_add_batch
     0.13%  nuXmv    [kernel.kallsyms]  [k] __check_heap_object
     0.13%  nuXmv    nuXmv              [.] 0x00000000009c84f4
     0.12%  nuXmv    nuXmv              [.] 0x00000000009c8466
     0.12%  nuXmv    [kernel.kallsyms]  [k] psi_group_change
     0.12%  nuXmv    nuXmv              [.] 0x00000000009dc0f0
     0.12%  nuXmv    nuXmv              [.] 0x00000000009c8494
     0.12%  nuXmv    nuXmv              [.] 0x00000000009cbef8
     0.11%  nuXmv    nuXmv              [.] 0x0000000000bbfdbf
     0.11%  nuXmv    [kernel.kallsyms]  [k] new_sync_write
     0.11%  nuXmv    nuXmv              [.] 0x00000000009c8588
     0.11%  nuXmv    [kernel.kallsyms]  [k] common_file_perm
     0.11%  nuXmv    nuXmv              [.] 0x00000000009dc3a1
     0.11%  nuXmv    nuXmv              [.] 0x00000000009c8532
     0.11%  nuXmv    nuXmv              [.] 0x00000000009c851f
     0.11%  nuXmv    nuXmv              [.] 0x00000000009e5a60
     0.11%  nuXmv    nuXmv              [.] 0x00000000009c8440
     0.11%  nuXmv    nuXmv              [.] 0x00000000009dc100
     0.11%  nuXmv    nuXmv              [.] 0x00000000009fb947
     0.10%  nuXmv    nuXmv              [.] 0x00000000009c844a
     0.10%  nuXmv    nuXmv              [.] 0x00000000009dc103
     0.10%  nuXmv    nuXmv              [.] 0x00000000009c869d
     0.10%  nuXmv    nuXmv              [.] 0x00000000009dc0c2
     0.10%  nuXmv    [kernel.kallsyms]  [k] tty_buffer_space_avail
     0.10%  nuXmv    nuXmv              [.] 0x00000000009e5ca0
     0.10%  nuXmv    nuXmv              [.] 0x00000000009c8708
     0.10%  nuXmv    nuXmv              [.] 0x00000000009fbc35
     0.10%  nuXmv    nuXmv              [.] 0x00000000009dc3ca
     0.10%  nuXmv    nuXmv              [.] 0x000000000094aaed
     0.09%  nuXmv    [kernel.kallsyms]  [k] ldsem_down_read
     0.09%  nuXmv    [kernel.kallsyms]  [k] enqueue_entity
     0.09%  nuXmv    nuXmv              [.] 0x00000000009dc3b2
     0.09%  nuXmv    [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.09%  nuXmv    nuXmv              [.] 0x00000000009dc0f4
     0.09%  nuXmv    nuXmv              [.] 0x00000000009e5a82
     0.09%  nuXmv    nuXmv              [.] 0x00000000009e5a90
